playerId,playerName,teamId,teamName,country,goalsCount,homeGoals,awayGoals,homePenalty,awayPenalty,matchNum,subNum
216027,Phil Harres,1117,Holstein Kiel,Germany,4,3,1,0,0,23,9
182867,Lilian Egloff,487,Karlsruher SC,Germany,4,2,2,0,0,12,2
212369,Daisuke Yokota,169,Hannover 96,Japan,4,1,3,0,0,20,10
238843,Rayan Ghrieb,2760,Magdeburg,France,4,2,2,0,0,21,11
114793,Marlon Ritter,175,Kaiserslautern,Germany,4,3,1,2,0,20,5
82265,Branimir Hrgota,458,Greuther Furth,Sweden,3,3,0,0,0,23,1
115777,Vincent Vermeij,425,Dynamo Dresden,Netherlands,3,1,2,0,0,12,4
119310,Dawid Kownacki,139,Hertha Berlin,Poland,3,0,3,0,0,13,7
144850,Sebastian Gronning,139,Hertha Berlin,Denmark,3,2,1,0,0,16,13
139701,Ibrahima Sissoko,95,VfL Bochum,Mali,3,1,2,0,0,6,2
179350,Thomas Keller,425,Dynamo Dresden,Germany,3,1,2,0,0,5,0
204903,Roko Simic,487,Karlsruher SC,Croatia,3,3,0,0,0,18,10
211998,Marten Winkler,139,Hertha Berlin,Germany,3,1,2,0,0,21,4
177786,Alexander Nollenberger,2760,Magdeburg,Germany,3,0,3,0,0,22,1
175126,Finn Ole Becker,136,Nurnberg,Germany,3,2,1,0,0,19,1
172490,Hiroki Akiyama,1080,Darmstadt,Japan,3,1,2,0,0,20,0
159399,Nils Froling,425,Dynamo Dresden,Sweden,3,3,0,0,0,19,7
223073,Bambase Conte,1076,SV Elversberg,Germany,3,2,1,0,0,20,0
223279,Hayate Matsuda,169,Hannover 96,Japan,3,2,1,0,0,17,2
230921,Mika Baur,1720,SC Paderborn 07,Germany,3,2,1,0,0,21,1
233006,Monju Momuluh,90,Arminia Bielefeld,Germany,3,2,1,0,0,19,1
252954,Noel Aseko-Nkili,169,Hannover 96,Germany,3,2,1,0,0,22,2
247435,Frederik Schmahl,1076,SV Elversberg,Germany,3,1,2,0,0,20,12
246988,Otto Stange,1076,SV Elversberg,Germany,3,2,1,1,0,11,11
180098,Maximilian Breunig,2760,Magdeburg,Germany,3,2,1,1,0,17,13
153485,Florent Muslija,1344,Fortuna Dusseldorf,Kosovo,3,1,2,0,1,22,1
158318,Tim Handwerker,90,Arminia Bielefeld,Germany,3,0,3,0,2,16,2
210963,Boris Tomiak,169,Hannover 96,Germany,3,1,2,1,1,21,0
159609,Sebastian Klaas,1720,SC Paderborn 07,Germany,3,2,1,2,0,19,4
159204,Luca Marseiler,1080,Darmstadt,Germany,2,2,0,0,0,22,5
161352,Roberts Uldrikis,90,Arminia Bielefeld,Latvia,2,2,0,0,0,6,3
169825,Martijn Kaars,2760,Magdeburg,Netherlands,2,0,2,0,0,3,0
169896,Alex Ahl-Holmstrom,2760,Magdeburg,Sweden,2,2,0,0,0,9,4
172999,Kevin Ehlers,1116,Eintracht Braunschweig,Germany,2,1,1,0,0,20,1
177652,Daniel Hanslik,175,Kaiserslautern,Germany,2,2,0,0,0,16,7
217043,Marcel Beifus,487,Karlsruher SC,Germany,2,1,1,0,0,14,6
200622,Tom Zimmerschied,1076,SV Elversberg,Germany,2,0,2,0,0,23,0
